objectId,geoPosition_____type,geoPosition__latitude,geoPosition__longitude,countryCode,postalCode,placeName,adminName1,adminName2,adminName3
ktH9SIkO6W,GeoPoint,19.8746,72.6851,IN,401503,Varor,Maharashtra,Thane,Dahanu
G2fPr1X4U9,GeoPoint,19.8746,72.6851,IN,401503,Vadhavan,Maharashtra,Thane,Dahanu
Ht5S1mpN4S,GeoPoint,19.8746,72.6851,IN,401503,Tanashi,Maharashtra,Thane,Dahanu
H80YRceHfK,GeoPoint,19.8746,72.6851,IN,401503,Chinchani,Maharashtra,Thane,Dahanu
rxM95krs83,GeoPoint,19.8354,72.8048,IN,401504,Tarapur App,Maharashtra,Thane,Palghar
DSqcEOEqdN,GeoPoint,19.8354,72.8048,IN,401504,Salwad,Maharashtra,Thane,Palghar
ZDRy5ULG2i,GeoPoint,19.8354,72.8048,IN,401504,Parnali,Maharashtra,Thane,Palghar
VimakueRfF,GeoPoint,19.8354,72.8048,IN,401506,Tarapur Ti,Maharashtra,Thane,Palghar
tZpz0BSuxI,GeoPoint,19.9678,72.7126,IN,401601,Narpad,Maharashtra,Thane,Dahanu
3POoFtLvQP,GeoPoint,19.5992,73.1509,IN,401601,Dahanu,Maharashtra,Thane,Dahanu
iGc3FIZAJi,GeoPoint,19.9678,72.7126,IN,401601,Badapokharan,Maharashtra,Thane,Dahanu
h4utn5pbtJ,GeoPoint,19.5992,73.1509,IN,401602,Waki,Maharashtra,Thane,Dahanu
FG4TZ6MC5h,GeoPoint,19.7623,73.5785,IN,401602,Urse,Maharashtra,Thane,Dahanu
tHOz7cWeS7,GeoPoint,19.7623,73.5785,IN,401602,Sawata,Maharashtra,Thane,Dahanu
RDZxWpsULp,GeoPoint,19.5992,73.1509,IN,401602,Saiwan,Maharashtra,Thane,Dahanu
BDApr95205,GeoPoint,19.7623,73.5785,IN,401602,Ranshet,Maharashtra,Thane,Dahanu
P3ud17vhYH,GeoPoint,19.7623,73.5785,IN,401602,Nikane,Maharashtra,Thane,Dahanu
xVIU6aEjZo,GeoPoint,19.7623,73.5785,IN,401602,Karaj Gaon,Maharashtra,Thane,Talasari
7LcneRNEXx,GeoPoint,19.7623,73.5785,IN,401602,Kainad,Maharashtra,Thane,Dahanu
O37Zzzvbdt,GeoPoint,19.7623,73.5785,IN,401602,Jamshet,Maharashtra,Thane,Mokhada
6ex6wY3PFq,GeoPoint,19.7623,73.5785,IN,401602,Ganjad,Maharashtra,Thane,Dahanu
VtHY3wHaco,GeoPoint,19.7623,73.5785,IN,401602,Dahanu Road,Maharashtra,Thane,Dahanu
mkhczwu2Zs,GeoPoint,19.7623,73.5785,IN,401602,Chikhale,Maharashtra,Thane,Dahanu
wnBPmHtDvU,GeoPoint,19.7623,73.5785,IN,401602,Charoti,Maharashtra,Thane,Dahanu
3qVIG0gEWU,GeoPoint,19.7623,73.5785,IN,401602,Bapugaon,Maharashtra,Thane,Dahanu
t4fSckPw7o,GeoPoint,19.7623,73.5785,IN,401602,Ashagad,Maharashtra,Thane,Dahanu
Lm6B8EhgjI,GeoPoint,19.7623,73.5785,IN,401602,Agawan,Maharashtra,Thane,Mokhada
YCltOzctrR,GeoPoint,19.9243,73.3195,IN,401603,Zap,Maharashtra,Thane,Jawhar
k8OPNWeERZ,GeoPoint,19.9243,73.3195,IN,401603,Valvande,Maharashtra,Thane,Jawhar
4K79HEfBx3,GeoPoint,19.4019,73.6094,IN,401603,Shiroshi,Maharashtra,Thane,Jawhar
